signal,regime,ic,pval,best_horizon_days,n,gate
sig_rs_3month,ALL,-0.00279,8e-06,10.0,2552299.0,FAIL
sig_ma_slope,ALL,-0.052846,0.0,20.0,2552299.0,FAIL
sig_rsi_oversold,ALL,0.052221,0.0,25.0,2552299.0,PASS
sig_drawdown_recovery,ALL,-0.035066,0.0,40.0,2538589.0,FAIL
sig_fundamental,ALL,0.131255,0.0,25.0,1129863.0,PASS
sig_rs_12month,ALL,-0.011254,0.0,40.0,2216488.0,FAIL
sig_rs_6month,ALL,0.002108,0.0016,5.0,2241129.0,FAIL
sig_price_stage,ALL,-0.0466,0.0,25.0,2265071.0,FAIL
sig_52w_high,ALL,-0.0481,0.0,25.0,2264886.0,FAIL
sig_volume,ALL,0.036267,0.0,20.0,2265071.0,PASS
sig_rs_3month,HEALTHY,0.021609,0.0,25.0,1614585.0,PASS
sig_ma_slope,HEALTHY,0.008604,0.0,25.0,1614585.0,FAIL
sig_rsi_oversold,HEALTHY,0.020447,0.0,25.0,1614585.0,PASS
sig_drawdown_recovery,HEALTHY,-0.011974,0.0,25.0,1614585.0,FAIL
sig_fundamental,HEALTHY,0.12751,0.0,25.0,695579.0,PASS
sig_rs_12month,HEALTHY,0.001426,0.091465,25.0,1401145.0,FAIL
sig_rs_6month,HEALTHY,0.016218,0.0,25.0,1416337.0,PASS
sig_price_stage,HEALTHY,-0.001688,0.043408,25.0,1431551.0,FAIL
sig_52w_high,HEALTHY,-0.001627,0.051613,25.0,1431446.0,FAIL
sig_volume,HEALTHY,0.00231,0.005708,25.0,1431551.0,FAIL
sig_rs_3month,FRAGILE,0.005575,0.000192,25.0,447518.0,FAIL
sig_ma_slope,FRAGILE,-0.008608,0.0,25.0,447518.0,FAIL
sig_rsi_oversold,FRAGILE,0.056625,0.0,25.0,447518.0,PASS
sig_drawdown_recovery,FRAGILE,-0.073851,0.0,25.0,447518.0,FAIL
sig_fundamental,FRAGILE,0.156948,0.0,25.0,190358.0,PASS
sig_rs_12month,FRAGILE,-0.009454,0.0,25.0,388845.0,FAIL
sig_rs_6month,FRAGILE,0.001757,0.270719,25.0,393032.0,FAIL
sig_price_stage,FRAGILE,0.001285,0.417686,25.0,397724.0,FAIL
sig_52w_high,FRAGILE,0.001269,0.423424,25.0,397674.0,FAIL
sig_volume,FRAGILE,0.00629,7.3e-05,25.0,397724.0,FAIL
sig_rs_3month,BEAR,-0.079996,0.0,25.0,486623.0,FAIL
sig_ma_slope,BEAR,-0.185529,0.0,25.0,486623.0,FAIL
sig_rsi_oversold,BEAR,0.067694,0.0,25.0,486623.0,PASS
sig_drawdown_recovery,BEAR,0.039804,0.0,25.0,486623.0,PASS
sig_fundamental,BEAR,0.140715,0.0,25.0,240353.0,PASS
sig_rs_12month,BEAR,-0.03167,0.0,25.0,426498.0,FAIL
sig_rs_6month,BEAR,-0.045786,0.0,25.0,431760.0,FAIL
sig_price_stage,BEAR,-0.127194,0.0,25.0,435796.0,FAIL
sig_52w_high,BEAR,-0.135467,0.0,25.0,435766.0,FAIL
sig_volume,BEAR,0.101177,0.0,25.0,435796.0,PASS
__cluster__trend,ALL,0.0,,,,CLUSTER_BUDGET
__cluster__mean_reversion,ALL,0.23765,,,,CLUSTER_BUDGET
__cluster__quality,ALL,0.76235,,,,CLUSTER_BUDGET
__cluster__trend,HEALTHY,0.20361,,,,CLUSTER_BUDGET
__cluster__mean_reversion,HEALTHY,0.11006,,,,CLUSTER_BUDGET
__cluster__quality,HEALTHY,0.68633,,,,CLUSTER_BUDGET
__cluster__trend,FRAGILE,0.0,,,,CLUSTER_BUDGET
__cluster__mean_reversion,FRAGILE,0.26513,,,,CLUSTER_BUDGET
__cluster__quality,FRAGILE,0.73487,,,,CLUSTER_BUDGET
__cluster__trend,BEAR,0.0,,,,CLUSTER_BUDGET
__cluster__mean_reversion,BEAR,0.30767,,,,CLUSTER_BUDGET
__cluster__quality,BEAR,0.69233,,,,CLUSTER_BUDGET
