"TaskName","NextRunTime"
"SoftLandingTriggerTask-128000000001615609-render-{568ef499-29c7-448c-b4cf-382d463eee38}","5/6/2026 10:00:24 AM"
"SoftLandingDeferralTask-{c7c998c9-bd28-40d0-a2c7-18e00f00e86b}","5/6/2026 10:05:00 AM"
"G2MUpdateTask-S-1-5-21-304280179-440706133-145769141-1001","5/6/2026 10:06:00 AM"
"BootstrapUsageDataReporting","5/6/2026 10:07:08 AM"
"UpdateAssistantCalendarRun","5/6/2026 10:32:02 AM"
"ZoomUpdateTaskUser-S-1-5-21-304280179-440706133-145769141-1001","5/6/2026 10:34:56 AM"
"Office Actions Server","5/6/2026 11:00:00 AM"
"G2MUploadTask-S-1-5-21-304280179-440706133-145769141-1001","5/6/2026 11:13:00 AM"
"08a_Yahoo_Macro_1120am","5/6/2026 11:20:00 AM"
"Office Background Push Maintenance","5/6/2026 11:21:21 AM"
"Consolidator","5/6/2026 12:00:00 PM"
"09a_Yahoo_Macro_1220pm","5/6/2026 12:20:00 PM"
"QueueReporting","5/6/2026 12:22:58 PM"
"NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","5/6/2026 12:25:21 PM"
"NvTmRep_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","5/6/2026 12:25:21 PM"
"NvDriverUpdateCheckDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","5/6/2026 12:25:22 PM"
"PowerGridForecastTask","5/6/2026 12:29:28 PM"
"07_Midday_Quotes","5/6/2026 12:30:00 PM"
"RefreshCache","5/6/2026 12:59:48 PM"
"Storage Tiers Optimization","5/6/2026 1:00:00 PM"
"Adobe Acrobat Update Task","5/6/2026 1:00:00 PM"
"Office Feature Updates","5/6/2026 1:12:43 PM"
"UnifiedConsentSyncTask","5/6/2026 1:21:36 PM"
"08_News_Pipeline","5/6/2026 1:30:00 PM"
"10a_Yahoo_Macro_0240pm","5/6/2026 2:40:00 PM"
"09_Regime_Watchdog","5/6/2026 2:55:00 PM"
"10_Daily_Scanner","5/6/2026 3:00:00 PM"
"PcaPatchDbTask","5/6/2026 3:35:07 PM"
"11_Alpaca_Execution","5/6/2026 3:40:00 PM"
"12_EOD_Reconciliation","5/6/2026 4:05:00 PM"
"00_Log_Cleanup","5/6/2026 4:30:00 PM"
"OneDrive Standalone Update Task-S-1-5-21-304280179-440706133-145769141-1001","5/6/2026 9:38:26 PM"
"OneDrive Reporting Task-S-1-5-21-304280179-440706133-145769141-1001","5/6/2026 9:48:54 PM"
"Data Integrity Check And Scan","5/6/2026 11:00:18 PM"
"01_SimFin_Overnight","5/6/2026 11:45:00 PM"
"Backup","5/6/2026 11:48:49 PM"
"02_DoltHub_Overnight","5/7/2026 12:11:00 AM"
"MapsUpdateTask","5/7/2026 12:26:28 AM"
"LicenseAcquisition","5/7/2026 2:17:19 AM"
"IntelligentPwdlessTask","5/7/2026 3:00:00 AM"
"SoftLandingCreativeManagementTask","5/7/2026 3:05:18 AM"
"Monitoring","5/7/2026 3:08:31 AM"
"Device","5/7/2026 3:51:10 AM"
"AD RMS Rights Policy Template Management (Automated)","5/7/2026 3:58:16 AM"
"UpdateAssistantWakeupRun","5/7/2026 4:12:17 AM"
"02a_Yahoo_Macro_0600am","5/7/2026 6:00:00 AM"
"03_Schwab_History","5/7/2026 7:00:00 AM"
"04_VIX_Sentinel","5/7/2026 7:15:00 AM"
"04_Yahoo_Async","5/7/2026 7:25:00 AM"
"Office ClickToRun Service Monitor","5/7/2026 7:37:03 AM"
"05_FRED_Refresh","5/7/2026 7:47:00 AM"
"06_Build_Daily","5/7/2026 8:00:00 AM"
"06a_Yahoo_Macro_0810am","5/7/2026 8:10:00 AM"
"06a_Yahoo_Macro_0814am","5/7/2026 8:14:00 AM"
"06b_Yahoo_RSS_News","5/7/2026 8:15:00 AM"
"Office Startup Maintenance","5/7/2026 8:23:02 AM"
"06c_Macro_Dashboard","5/7/2026 8:30:00 AM"
"WakeUpAndScanForUpdates","5/7/2026 8:41:10 AM"
"05a_EDGAR_Actions","5/7/2026 8:45:00 AM"
"Office Automatic Updates 2.0","5/7/2026 9:03:07 AM"
"StrategyE1_MorningAudit","5/7/2026 9:07:00 AM"
"05b_Morning_Quotes","5/7/2026 9:35:00 AM"
"07a_Yahoo_Macro_0950am","5/7/2026 9:50:00 AM"
"ScanForUpdates","5/7/2026 4:30:48 PM"
"PrintJobCleanupTask","5/8/2026 12:00:00 PM"
"12_Weekly_Pipeline","5/9/2026 2:00:00 AM"
"SetupRecoveryDataTask","5/14/2026 10:21:52 AM"
"BackupNonMaintenance","5/16/2026 2:29:19 AM"
"PrinterCleanupTask","5/29/2026 12:00:00 PM"
"13_Monthly_Comparison","6/1/2026 8:00:00 AM"
